national_absolute_potential_rank,area_id,postal_code,area_name,municipality_code,lat,lon,national_absolute_potential_score,estimated_switchers,population_final,estimated_commuters_base,jspi_score,recommended_campaign_type,recommendation_reason,data_confidence_level,commuting_data_source
45,00920,00920,Myllypuro,091,60.2223087368172,25.073357588146088,99.0,1036.6711539871965,13535.0,2022.9999999999998,90.1,bussikäytävä- ja pysäkkikampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
46,00410,00410,Malminkartano,091,60.25102989012809,24.85574128170586,99.0,973.293683993872,10016.0,1512.6999999999998,93.3,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
47,33400,33400,Luoteis-Tampere,837,61.530382195723625,23.66620949373573,99.0,917.0051759248231,11551.0,1872.1499999999999,73.6,asema- ja junakampanja,suuri henkilömääräinen potentiaali; korkea autoilupaine; joukkoliikenteen matka-aika on kilpailukykyinen; pendelöintiosuus perustuu fallback-oletukseen,keskitaso,fallback_default_share
48,20320,20320,Kuninkoja-Mälikkälä,853,60.47440057047683,22.2377662749885,98.9,1268.837256315287,17002.0,2575.2999999999997,85.3,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
49,00250,00250,Taka-Töölö,091,60.18457969442993,24.89493520619713,98.9,1155.111928451629,11597.0,2334.85,91.3,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
50,02210,02210,Olari,049,60.17542353462187,24.723644505976655,98.9,1032.9541780979278,12904.0,2050.2999999999997,88.5,bussikäytävä- ja pysäkkikampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
51,00400,00400,Pohjois-Haaga,091,60.22853458644959,24.897651204035263,98.9,994.3443697737407,9187.0,1542.8,92.2,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
52,00810,00810,Herttoniemenranta,091,60.193377177892216,25.027255095429332,98.9,986.7831328417791,11682.0,1989.3999999999999,88.5,bussikäytävä- ja pysäkkikampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
53,04410,04410,Järvenpää Keskus,186,60.48828449490797,25.097292364929064,98.9,978.7990159288508,12744.0,1939.35,78.2,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen; pendelöintiosuus perustuu fallback-oletukseen,keskitaso,fallback_default_share
54,00740,00740,Siltamäki,091,60.275597472162296,24.999964110383996,98.9,948.8829054402321,10514.0,1625.75,92.4,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
