underused_transit_potential_rank,area_id,postal_code,area_name,municipality_code,lat,lon,underused_transit_potential_score,car_pressure_score,public_transport_service_score,accessibility_score,travel_time_competitiveness_score_final,estimated_switchers,jspi_score,recommended_campaign_type,recommendation_reason,data_confidence_level,commuting_data_source
28,01300,01300,Tikkurila,092,60.29321153202259,25.026944303655743,96.2,0.877240791719361,0.9910911498670811,0.9900387629009328,0.9906701950806218,2651.5174602953607,90.5,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
29,00180,00180,Kamppi - Ruoholahti,091,60.16194759268494,24.910835884790366,96.2,0.9199303329415388,0.9850539639627671,0.9692400175348023,0.9787283853915811,1639.139514466292,91.9,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
30,00630,00630,Maunula,091,60.23330995659234,24.927080505230624,96.2,0.9432858961066338,0.987000675715745,0.968833194417617,0.9797336831964938,798.5017912248423,91.1,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
31,00360,00360,Pajamäki,091,60.21639988283583,24.857529703789673,95.9,0.9578363796523882,0.985360034944065,0.9981372667214115,0.9904709276550037,217.58818367799114,82.5,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
32,00130,00130,Kaartinkaupunki,091,60.16447470623334,24.950055578909822,95.9,0.9502949092124494,0.9975135311672196,0.993045260229517,0.9957262227921385,213.2753734197274,82.3,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
33,00430,00430,Maununneva - Kuninkaantammi,091,60.254120834103915,24.89636736956652,95.8,0.9403989353520932,0.9695772240904101,0.9474744584508248,0.960736117834576,853.4981050379772,91.2,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
34,00350,00350,Munkkivuori - Niemenmäki,091,60.208081129477776,24.86000093970567,95.7,0.9380138725941408,0.9528440530857984,0.9629770717763491,0.9568972605620187,1067.9142637374339,91.9,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
35,00510,00510,Alppila - Vallila,091,60.19252727025158,24.946356586483954,95.6,0.8838471589104787,0.9980908928802024,0.9894922474874722,0.9946514347231104,1233.8306003699283,90.6,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
36,00740,00740,Siltamäki,091,60.275597472162296,24.999964110383996,95.6,0.9525208499350312,0.9779046754857652,0.9445756012920603,0.9645730458082832,948.8829054402321,92.4,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
37,00620,00620,Metsälä - Etelä-Oulunkylä,091,60.22362389359084,24.940641924899317,95.6,0.9204920929956182,0.9992566701451946,0.9979267535175679,0.9987247034941439,346.5981968992629,84.6,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
38,02760,02760,Tuomarila-Suvela,049,60.20036872093817,24.676377307963484,95.5,0.880581888535956,0.9761582017825987,0.9926430817848203,0.9827521537834873,1483.9834386476466,90.3,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
39,01370,01370,Jokiniemi,092,60.2975113644894,25.061990635951684,95.5,0.8776754847815604,0.9787125331739384,0.9895583997752484,0.9830508798144624,770.4920644528579,88.3,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
40,00300,00300,Pikku Huopalahti,091,60.20125620213425,24.894648584937293,95.5,0.943285288902198,0.9913058661398997,0.9587029372457065,0.9782646945822224,509.6727967316904,87.9,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
41,00440,00440,Lassila,091,60.23063219604584,24.88257806620098,95.5,0.9296148831971484,1.0,0.9999621484802729,0.9999848593921091,435.3929103399133,86.5,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
42,00530,00530,Kallio,091,60.1810810775564,24.95706766389673,95.4,0.8832125830955767,0.9932007376202574,0.9850490236906302,0.9899400520484065,2246.4252225122395,90.6,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
43,02610,02610,Kilo,049,60.218725472730235,24.76902365685254,95.4,0.8880993896028593,0.9785103323057578,0.9929620468971418,0.9842910181423115,677.064976734436,87.8,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
44,01600,01600,Myyrmäki,092,60.26653936057732,24.845181975275413,95.3,0.8840441199023097,0.9979063619740645,0.9907333395700804,0.9950371530124709,1687.5459830537357,90.6,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
45,00600,00600,Koskela,091,60.21864007764416,24.96589158171561,95.3,0.929446785120652,0.9949219059721386,0.9827251129792092,0.9900431887749668,438.93594978618455,86.4,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
46,01450,01450,Korso,092,60.35264512796468,25.080560996043328,95.1,0.8627684474629098,0.9698069939598983,0.9889760328506707,0.9774746095162073,1792.0215954591547,89.5,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
47,00500,00500,Sörnäinen - Harju,091,60.187372075573094,24.961662672740037,95.0,0.8857548060849207,0.9861695783227755,0.9692657296061675,0.9794080388361324,1544.2329195250154,90.5,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
48,01360,01360,Koivukylä-Havukoski,092,60.320700316294456,25.062464729872012,94.9,0.8717831507003326,0.9889790182460514,0.9957834110491981,0.99170077536731,1146.9555962567447,89.9,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
49,02710,02710,Viherlaakso,049,60.22587659901493,24.739962656604202,94.9,0.8882251853578996,0.9714331422724012,0.9801321756256148,0.9749127556136866,602.5188030071932,86.9,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
50,02650,02650,Pohjois-Leppävaara,049,60.22842334971089,24.82742573773976,94.8,0.847126648450978,0.991729105358429,0.9803448159011342,0.9871753895755111,1295.4312322031406,89.1,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
51,02770,02770,Espoon Keskus,049,60.20103929832506,24.657130608836034,94.8,0.8893002914396565,0.9747803934647075,0.9944836347883267,0.9826616899941552,1008.165040434793,90.1,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
52,00580,00580,Kalasatama - Kyläsaari,091,60.194554749845395,24.979686769447383,94.7,0.944829013583026,0.9203865622043557,0.9510371676256655,0.9326468043728795,965.8349882092213,91.5,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
