area_id,postal_code,area_name,municipality_code,lat,lon,population_final,employed_residents_final,estimated_commuters_base,estimated_car_commute_share,estimated_switchers,jspi_score,jspi_score_original,jspi_score_v2,national_absolute_potential_score,national_absolute_potential_rank,underused_transit_potential_score,underused_transit_potential_rank,primary_analysis_view,potential_persons_score,underuse_score,car_pressure_score,emission_congestion_score,ad_feasibility_score,public_transport_service_score,accessibility_score,travel_time_competitiveness_score_final,nearest_transit_stop_distance_m,rail_nearest_distance_m,liipi_nearest_distance_m,recommended_campaign_type,recommendation_reason,message_angle,data_confidence_score,data_confidence_level,commuting_data_source,confidence_missing_reasons,rank
00580,00580,Kalasatama - Kyläsaari,091,60.194554749845395,24.979686769447383,8148.0,4863.0,1702.05,0.7216934658106565,965.8349882092213,91.5,89.7,91.5,98.4,63,94.7,52,balanced,1.0,0.6668486639799858,0.944829013583026,0.9253807200985709,0.9660308672362687,0.9203865622043557,0.9510371676256655,0.9326468043728795,185.41661720547222,2455.5701008771493,751.7192463287056,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,22
00250,00250,Taka-Töölö,091,60.18457969442993,24.89493520619713,11597.0,6671.0,2334.85,0.7262166856793176,1155.111928451629,91.3,89.6,91.3,98.9,48,93.2,69,balanced,1.0,0.6645754585721614,0.9545412718747384,0.9545412718747384,0.8746466662182283,0.8963474862809097,0.8881232484549056,0.893057791150508,302.07207722102095,2549.567750120722,2433.5596787938193,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,23
00150,00150,Punavuori - Eira - Hernesaari,091,60.1500095302797,24.929255282234703,9720.0,5416.0,1895.6,0.7236930539159395,1020.0812285060266,91.3,89.5,91.3,98.8,55,93.9,58,balanced,1.0,0.6592932592146173,0.9472000832157405,0.9441566162547439,0.933721782369106,0.9019863379724484,0.9302257559317672,0.9132821051561759,153.37104351102073,2444.8055309253914,1598.46590171828,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,24
00430,00430,Maununneva - Kuninkaantammi,091,60.254120834103915,24.89636736956652,8691.0,4190.0,1466.5,0.7213062622943998,853.4981050379772,91.2,89.1,91.2,97.3,78,95.8,33,balanced,0.9834281079372009,0.6927921397422514,0.9403989353520932,0.8984511307376551,0.93351807801082,0.9695772240904101,0.9474744584508248,0.960736117834576,44.604835358777656,1901.4643287981603,1423.3603281048956,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,25
00940,00940,Kontula - Vesala - Kivikko,091,60.24084602262441,25.09125760308173,26432.0,9646.0,3376.1,0.7223553328789051,1778.0343749244926,91.1,90.1,91.1,99.1,42,89.3,97,national_absolute_potential,1.0,0.6703156641309882,0.955192938121188,0.955192938121188,0.9462426725019323,0.9077493403509285,0.9076136333988911,0.9076950575701135,217.74355975035166,4090.9492974148643,604.7391342361714,bussikäytävä- ja pysäkkikampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Hyvä pysäkkisaavutettavuus ja tiheä tarjonta – kokeile työmatkaa bussilla.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,26
00630,00630,Maunula,091,60.23330995659234,24.927080505230624,8536.0,3726.0,1304.1,0.7199449561816674,798.5017912248423,91.1,89.1,91.1,96.5,86,96.2,28,balanced,0.973736541361044,0.7029849685437596,0.9432858961066338,0.8833564605077125,0.973214321746027,0.987000675715745,0.968833194417617,0.9797336831964938,89.03920481992614,1758.4519326713037,209.2170701406864,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,27
00750,00750,Tapulikaupunki,091,60.2797395976605,25.03589210822129,9389.0,4060.0,1421.0,0.715964431589839,905.4566856397265,91.0,88.6,91.0,98.2,65,96.4,25,balanced,0.9920275624546393,0.680630259216348,0.9150177414309476,0.8695513586417191,0.9906970918046675,0.9894896822310963,0.9983168628759778,0.9930205544890489,264.3255240931506,381.1403582274462,220.9336898490549,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,28
01350,01350,Hiekkaharju,092,60.30520209581928,25.036462617373292,10533.0,4959.0,1735.6499999999999,0.7104100586838321,1090.5209187522269,90.8,88.0,90.8,99.4,29,96.7,20,balanced,1.0,0.6626017412668057,0.8874434117694163,0.8719742981574684,0.9886665556190606,0.9933115223025528,0.9933463458016607,0.9933254517021959,125.08006160798726,711.017453535308,678.1306928156822,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,29
00370,00370,Reimarla,091,60.222882537363496,24.854442624083674,6666.0,3078.0,1077.3,0.7213822521359033,695.5483406477795,90.7,88.5,90.7,94.5,99,97.7,11,balanced,0.9536540543646096,0.7112950782281626,0.9502716883603262,0.8606246984316134,0.9821317993550274,0.997222098074628,0.9981399018503898,0.9975892195849327,229.92223830834678,278.3147195307239,130.6837964692135,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,30
00530,00530,Kallio,091,60.1810810775564,24.95706766389673,17951.0,10327.0,3614.45,0.7089782649572038,2246.4252225122395,90.6,88.0,90.6,99.9,11,95.4,42,balanced,1.0,0.6601117069235533,0.8832125830955767,0.8832125830955767,0.9925921344228094,0.9932007376202574,0.9850490236906302,0.9899400520484065,68.64054427391395,1350.1959281848074,325.20228446925984,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,31
01600,01600,Myyrmäki,092,60.26653936057732,24.845181975275413,19159.0,7696.0,2693.6,0.7092975602498701,1687.5459830537357,90.6,88.0,90.6,100.0,3,95.3,45,balanced,1.0,0.6627394861673845,0.8840441199023097,0.8840441199023097,0.9863539785740228,0.9979063619740645,0.9907333395700804,0.9950371530124709,157.01089485479363,633.7877413732102,595.0576203839182,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,32
00510,00510,Alppila - Vallila,091,60.19252727025158,24.946356586483954,9407.0,5630.0,1970.4999999999998,0.7090924886038861,1233.8306003699283,90.6,88.0,90.6,99.6,21,95.6,36,balanced,1.0,0.6627994223236882,0.8838471589104787,0.8838471589104787,0.9888153084110721,0.9980908928802024,0.9894922474874722,0.9946514347231104,91.9701101034796,956.1225377967943,896.801842266338,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,33
00780,00780,Tapaninvainio,091,60.25834659605236,24.99362547056588,6949.0,3048.0,1066.8,0.7227395257701262,666.771092468947,90.6,88.5,90.6,94.0,108,97.2,17,balanced,0.9475074767787998,0.717424283189188,0.9586632364934204,0.8667107728175052,0.974534873506295,0.9937295938456012,0.9785941311213202,0.9876754087558889,17.22127997150003,1190.0156253628384,1065.5568812257088,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,34
01300,01300,Tikkurila,092,60.29321153202259,25.026944303655743,24875.0,12165.0,4257.75,0.7088097427405966,2651.5174602953607,90.5,87.6,90.5,99.9,13,96.2,30,balanced,1.0,0.6540970815065219,0.877240791719361,0.877240791719361,0.987427677447778,0.9910911498670811,0.9900387629009328,0.9906701950806218,92.0376836518496,901.6547101735953,838.9205910163157,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,Junalla työmatka ilman ruuhkaa ja keskustapysäköinnin vaivaa.,0.73,keskitaso,fallback_default_share,statfin_commuting_missing; od_sample_missing,35
